timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14134.824,-9566.368,-8822.145,-3496.461,-7346.616,3231.794,-10698.797,-2842.382,-587.337,0
14134.881,-9566.569,-8818.121,-3495.857,-7335.977,3228.955,-10690.348,-2857.559,-598.803,0
14134.882,-9567.888,-8820.043,-3498.674,-7340.112,3229.894,-10692.694,-2864.197,-599.518,0
14134.882,-9566.256,-8823.508,-3499.099,-7352.405,3233.135,-10702.172,-2854.675,-593.819,0
14134.882,-9565.496,-8827.911,-3495.634,-7356.384,3235.393,-10704.608,-2844.304,-576.809,0
14134.882,-9567.485,-8828.872,-3492.661,-7346.951,3232.755,-10699.602,-2850.272,-582.151,0
14134.882,-9571.956,-8826.234,-3494.695,-7337.653,3229.224,-10693.164,-2865.337,-598.133,0
14134.883,-9572.648,-8824.312,-3497.735,-7342.280,3230.855,-10696.360,-2867.773,-609.957,0
14134.883,-9573.006,-8828.760,-3499.143,-7354.506,3235.102,-10706.083,-2845.310,-604.548,0
14134.883,-9574.034,-8833.901,-3496.729,-7358.172,3239.349,-10705.658,-2823.115,-579.290,0
14134.883,-9574.124,-8831.845,-3493.645,-7347.957,3235.281,-10700.585,-2838.716,-595.272,0
14134.883,-9577.834,-8828.045,-3496.908,-7339.240,3231.571,-10691.845,-2858.587,-595.473,0
14134.883,-9577.879,-8827.419,-3502.496,-7344.314,3231.012,-10695.176,-2875.217,-590.913,0
14134.884,-9578.996,-8833.655,-3503.569,-7358.127,3235.147,-10705.212,-2854.742,-583.872,0
14134.884,-9577.164,-8836.628,-3498.584,-7361.413,3236.801,-10708.967,-2837.219,-581.950,0
14134.884,-9575.845,-8832.538,-3495.031,-7350.572,3233.515,-10700.741,-2848.573,-591.450,0
14134.940,-9577.969,-8827.956,-3495.299,-7340.894,3229.738,-10692.493,-2871.685,-600.614,0
14134.940,-9580.182,-8828.090,-3499.993,-7347.264,3227.860,-10696.069,-2871.216,-605.956,0
14134.940,-9578.349,-8831.800,-3500.552,-7358.731,3232.442,-10703.558,-2852.016,-588.454,0
14134.940,-9576.292,-8833.499,-3497.869,-7361.771,3235.817,-10703.870,-2841.153,-568.450,0
14134.940,-9574.839,-8829.363,-3495.925,-7351.422,3231.950,-10698.461,-2849.669,-580.050,0
14134.941,-9573.229,-8820.535,-3497.087,-7340.201,3224.910,-10693.008,-2878.189,-602.804,0
14134.941,-9572.045,-8818.702,-3500.753,-7343.688,3225.603,-10694.125,-2884.940,-605.598,0
14134.941,-9571.956,-8822.636,-3502.161,-7357.032,3229.917,-10702.373,-2851.501,-591.584,0
14134.941,-9570.168,-8824.401,-3498.540,-7360.474,3230.922,-10706.419,-2834.447,-582.956,0
14134.941,-9569.363,-8820.960,-3495.433,-7350.707,3227.234,-10700.942,-2840.259,-589.594,0
14134.941,-9568.737,-8815.126,-3496.908,-7339.978,3222.026,-10693.008,-2864.018,-591.226,0
14134.941,-9567.798,-8815.796,-3500.350,-7343.755,3221.356,-10695.958,-2876.938,-599.518,0
14134.941,-9568.089,-8819.149,-3500.976,-7356.719,3227.123,-10704.451,-2864.018,-592.679,0
14134.941,-9566.972,-8821.026,-3497.199,-7360.832,3231.034,-10706.620,-2847.433,-587.225,0
14134.941,-9567.575,-8819.819,-3496.014,-7350.617,3228.285,-10700.831,-2851.278,-587.314,0
14135.000,-9568.559,-8815.908,-3497.020,-7338.882,3225.536,-10697.165,-2867.863,-606.716,0
