timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14399.943,-15093.061,-13589.570,-9155.319,-13002.814,-892.192,-15495.794,-7528.760,-5235.002,0
14399.943,-15096.949,-13592.632,-9157.040,-13008.470,-891.142,-15499.840,-7526.771,-5231.493,0
14399.943,-15100.324,-13597.997,-9157.845,-13010.123,-892.259,-15502.343,-7527.040,-5237.930,0
14399.944,-15101.867,-13597.438,-9155.722,-13005.340,-893.310,-15499.280,-7528.604,-5238.601,0
14399.944,-15103.565,-13597.840,-9155.408,-13002.725,-894.539,-15498.633,-7534.036,-5241.037,0
14399.944,-15106.493,-13601.126,-9157.867,-13007.039,-893.623,-15502.879,-7536.137,-5243.742,0
14399.944,-15109.243,-13604.591,-9160.371,-13013.968,-892.885,-15508.914,-7532.091,-5246.826,0
14399.944,-15109.086,-13605.775,-9159.834,-13013.633,-893.019,-15510.345,-7529.766,-5248.458,0
14399.944,-15106.807,-13602.243,-9156.191,-13006.167,-892.930,-15505.785,-7533.186,-5243.451,0
14399.945,-15103.655,-13598.601,-9154.313,-13001.652,-891.320,-15503.326,-7535.891,-5246.044,0
14399.945,-15103.610,-13600.701,-9156.146,-13005.899,-891.522,-15506.232,-7532.426,-5244.926,0
14399.945,-15102.225,-13603.830,-9154.582,-13009.274,-890.918,-15508.222,-7521.943,-5236.812,0
14399.945,-15099.140,-13605.373,-9152.525,-13008.715,-893.153,-15507.663,-7519.395,-5235.449,0
14399.945,-15093.574,-13599.517,-9149.508,-13002.457,-896.730,-15505.517,-7523.575,-5239.227,0
14399.946,-15090.222,-13591.604,-9148.613,-12998.456,-896.752,-15505.204,-7527.710,-5239.137,0
14400.003,-15088.545,-13590.688,-9150.156,-13001.272,-895.880,-15508.087,-7527.978,-5241.171,0
14400.004,-15090.244,-13593.705,-9153.710,-13006.614,-897.423,-15511.865,-7526.950,-5243.451,0
14400.004,-15090.825,-13593.459,-9153.240,-13006.726,-898.875,-15512.603,-7523.865,-5245.955,0
14400.004,-15090.267,-13592.476,-9151.766,-13000.646,-899.457,-15509.361,-7527.665,-5246.491,0
14400.005,-15087.740,-13588.854,-9149.485,-12994.098,-897.914,-15506.276,-7527.040,-5247.273,0
14400.005,-15087.830,-13589.727,-9152.860,-12997.338,-898.004,-15508.646,-7528.067,-5244.859,0
14400.005,-15086.578,-13589.883,-9156.213,-13001.652,-898.250,-15512.021,-7530.258,-5245.262,0
14400.006,-15085.907,-13593.013,-9157.152,-13002.322,-900.395,-15512.603,-7531.331,-5244.457,0
14400.006,-15083.271,-13591.537,-9154.626,-12996.243,-900.976,-15509.026,-7533.566,-5248.056,0
14400.006,-15082.555,-13589.101,-9154.648,-12993.449,-901.647,-15507.439,-7540.115,-5248.391,0
14400.006,-15083.449,-13591.045,-9156.772,-12997.875,-900.999,-15510.814,-7540.562,-5250.805,0
14400.007,-15082.846,-13591.090,-9156.459,-13002.882,-898.875,-15514.056,-7534.147,-5251.073,0
14400.007,-15084.388,-13593.191,-9156.638,-13005.161,-899.412,-15513.496,-7532.068,-5242.378,0
14400.007,-15083.427,-13589.168,-9153.084,-12998.143,-900.060,-15509.897,-7534.818,-5241.819,0
14400.008,-15086.556,-13590.665,-9153.419,-12996.623,-900.596,-15508.780,-7537.143,-5245.731,0
14400.064,-15089.596,-13591.783,-9155.364,-13001.630,-897.624,-15510.412,-7534.103,-5242.244,0
14400.064,-15089.126,-13588.788,-9156.683,-13006.860,-896.506,-15512.558,-7527.754,-5236.298,0
14400.064,-15087.584,-13589.659,-9154.939,-13007.173,-896.797,-15514.056,-7522.658,-5237.841,0
14400.064,-15090.579,-13596.119,-9151.676,-13000.065,-895.344,-15511.104,-7526.324,-5239.853,0
14400.064,-15095.854,-13601.059,-9153.419,-12997.808,-894.740,-15509.495,-7531.845,-5241.931,0
14400.064,-15097.978,-13602.646,-9155.699,-13002.479,-893.757,-15510.523,-7532.829,-5240.702,0
14400.064,-15097.083,-13601.908,-9156.102,-13006.659,-893.220,-15512.982,-7532.203,-5240.724,0
14400.064,-15094.379,-13598.265,-9153.576,-13005.296,-891.857,-15510.859,-7529.878,-5234.019,0
14400.064,-15094.200,-13598.891,-9150.603,-12999.082,-894.539,-15508.021,-7531.622,-5240.277,0
14400.064,-15094.670,-13598.332,-9148.726,-12995.081,-895.433,-15506.299,-7528.291,-5241.037,0
14400.064,-15096.637,-13600.634,-9149.553,-12999.797,-893.332,-15505.450,-7521.317,-5229.079,0
14400.065,-15098.179,-13606.043,-9149.865,-13005.720,-894.115,-15508.132,-7521.407,-5228.163,0
14400.065,-15099.140,-13609.642,-9149.754,-13006.793,-895.411,-15510.501,-7523.552,-5228.945,0
14400.065,-15095.676,-13607.385,-9145.238,-12999.462,-895.344,-15507.797,-7524.066,-5230.666,0
14400.065,-15095.608,-13608.435,-9144.210,-12996.288,-896.573,-15508.557,-7525.765,-5239.853,0
14400.124,-15096.011,-13607.250,-9146.468,-13000.289,-896.439,-15513.094,-7525.072,-5241.573,0
14400.124,-15095.206,-13606.244,-9148.726,-13005.407,-897.445,-15518.503,-7522.815,-5242.803,0
14400.124,-15094.424,-13609.284,-9148.278,-13005.430,-898.227,-15519.018,-7523.083,-5236.611,0
14400.124,-15094.379,-13607.451,-9145.641,-13000.602,-898.741,-15517.006,-7527.084,-5236.500,0
14400.124,-15093.373,-13605.909,-9143.741,-12996.712,-897.914,-15515.665,-7526.615,-5240.903,0
14400.125,-15092.322,-13603.518,-9144.635,-12998.858,-897.355,-15518.816,-7528.604,-5243.362,0
14400.125,-15092.546,-13603.540,-9146.781,-13004.290,-897.065,-15522.415,-7526.771,-5243.228,0
14400.125,-15091.585,-13604.881,-9147.898,-13006.748,-898.987,-15522.884,-7527.509,-5241.909,0
14400.125,-15088.858,-13600.366,-9146.267,-13000.289,-900.284,-15519.621,-7533.343,-5246.066,0
14400.125,-15087.896,-13599.159,-9144.702,-12996.153,-898.182,-15516.805,-7533.521,-5249.799,0
14400.126,-15089.729,-13603.138,-9148.100,-13001.228,-898.071,-15519.465,-7535.198,-5248.771,0
14400.126,-15088.858,-13606.646,-9150.111,-13006.234,-898.898,-15522.460,-7536.025,-5245.418,0
14400.126,-15087.785,-13608.502,-9149.955,-13006.279,-899.546,-15522.415,-7533.454,-5246.200,0
14400.126,-15083.918,-13602.869,-9145.708,-12998.210,-898.630,-15516.715,-7531.264,-5246.200,0
14400.126,-15080.432,-13599.785,-9144.076,-12994.433,-900.127,-15515.731,-7533.343,-5245.977,0
14400.184,-15078.241,-13596.253,-9145.819,-12997.651,-901.021,-15520.023,-7531.845,-5246.491,0
14400.184,-15076.386,-13594.867,-9147.272,-13001.384,-900.507,-15522.035,-7532.001,-5242.557,0
14400.185,-15073.815,-13591.537,-9146.938,-13001.094,-902.474,-15522.146,-7537.299,-5242.043,0
14400.185,-15068.786,-13585.435,-9141.640,-12994.745,-902.318,-15517.944,-7528.828,-5242.177,0
