timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14583.808,-16828.762,-14968.874,-11048.512,-14919.924,-1413.815,-16963.723,-8878.851,-6421.008,0
14583.808,-16828.473,-14968.650,-11045.539,-14917.532,-1414.843,-16963.008,-8879.655,-6424.182,0
14583.808,-16822.504,-14960.090,-11041.024,-14908.814,-1413.815,-16957.688,-8880.996,-6426.618,0
14583.809,-16822.771,-14959.263,-11042.566,-14908.636,-1411.937,-16958.760,-8880.930,-6423.579,0
14583.809,-16826.863,-14964.136,-11047.618,-14915.006,-1413.435,-16966.650,-8883.656,-6425.098,0
14583.809,-16828.428,-14964.806,-11048.646,-14918.516,-1415.178,-16970.809,-8884.081,-6424.137,0
14583.868,-16825.320,-14962.034,-11045.874,-14913.353,-1416.966,-16967.188,-8885.243,-6425.434,0
14583.869,-16819.979,-14958.569,-11043.304,-14904.971,-1416.162,-16960.102,-8887.992,-6425.925,0
14583.869,-16818.145,-14956.356,-11044.980,-14907.519,-1416.788,-16960.191,-8889.534,-6427.088,0
14583.869,-16819.441,-14958.257,-11047.953,-14915.587,-1417.212,-16965.020,-8887.970,-6426.931,0
14583.869,-16819.219,-14958.011,-11048.557,-14919.588,-1417.637,-16967.635,-8886.808,-6427.915,0
14583.869,-16816.379,-14954.346,-11045.830,-14914.090,-1417.972,-16964.885,-8888.998,-6432.452,0
14583.869,-16813.361,-14951.752,-11042.812,-14905.909,-1417.726,-16959.543,-8890.250,-6434.218,0
14583.870,-16814.904,-14953.697,-11044.712,-14907.474,-1417.078,-16959.564,-8890.205,-6429.010,0
14583.870,-16821.230,-14960.872,-11050.390,-14915.744,-1417.749,-16966.516,-8890.921,-6427.959,0
14583.870,-16824.650,-14967.265,-11052.960,-14919.499,-1417.883,-16970.875,-8888.238,-6426.954,0
14583.870,-16821.408,-14965.364,-11049.160,-14913.353,-1418.553,-16967.477,-8886.986,-6426.931,0
14583.870,-16819.844,-14963.755,-11046.389,-14906.468,-1419.470,-16963.297,-8889.557,-6429.814,0
14583.871,-16822.326,-14963.979,-11048.333,-14908.770,-1417.436,-16964.215,-8890.228,-6429.681,0
14583.871,-16825.701,-14968.673,-11049.652,-14916.369,-1416.564,-16969.377,-8886.539,-6426.193,0
14583.871,-16826.035,-14969.790,-11048.780,-14919.343,-1415.894,-16970.406,-8883.500,-6424.651,0
14583.927,-16825.990,-14967.533,-11048.244,-14916.190,-1418.308,-16969.266,-8887.099,-6428.742,0
14583.927,-16821.432,-14959.710,-11042.455,-14907.519,-1417.704,-16964.504,-8891.457,-6434.777,0
14583.927,-16822.951,-14959.173,-11044.847,-14909.083,-1419.246,-16968.238,-8897.000,-6441.147,0
14583.927,-16824.270,-14962.012,-11049.630,-14915.989,-1420.386,-16973.826,-8898.073,-6441.728,0
14583.927,-16823.041,-14963.510,-11051.932,-14918.649,-1422.644,-16977.580,-8897.313,-6441.191,0
14583.928,-16819.979,-14962.526,-11049.271,-14913.419,-1424.499,-16975.658,-8897.648,-6442.667,0
14583.928,-16817.096,-14958.949,-11045.472,-14906.334,-1424.410,-16971.479,-8900.196,-6443.941,0
14583.928,-16818.525,-14958.771,-11047.729,-14908.256,-1423.046,-16971.479,-8898.386,-6442.868,0
14583.928,-16823.979,-14964.068,-11051.865,-14917.644,-1423.516,-16977.736,-8895.994,-6443.784,0
14583.928,-16824.918,-14964.739,-11053.317,-14922.829,-1423.001,-16980.039,-8892.463,-6441.795,0
14583.928,-16820.516,-14957.698,-11049.965,-14917.442,-1421.102,-16972.461,-8890.361,-6431.268,0
14583.928,-16814.078,-14947.751,-11044.377,-14909.843,-1421.392,-16967.119,-8893.356,-6438.018,0
14583.928,-16815.039,-14948.109,-11045.606,-14912.793,-1422.554,-16969.646,-8894.362,-6442.801,0
14583.928,-16818.615,-14952.646,-11050.188,-14919.924,-1422.376,-16973.691,-8892.328,-6435.760,0
14583.928,-16819.889,-14956.223,-11051.552,-14923.566,-1422.286,-16975.256,-8890.339,-6433.436,0
14583.987,-16817.430,-14954.726,-11047.148,-14917.309,-1423.404,-16972.775,-8890.786,-6436.833,0
14583.988,-16815.418,-14951.283,-11043.662,-14909.933,-1424.499,-16969.064,-8892.508,-6436.721,0
14583.988,-16817.832,-14954.346,-11045.941,-14911.988,-1424.790,-16972.328,-8895.145,-6437.772,0
14583.988,-16822.258,-14960.201,-11049.115,-14918.918,-1423.851,-16978.408,-8894.229,-6437.705,0
14583.988,-16823.309,-14962.995,-11049.741,-14922.807,-1423.404,-16980.531,-8890.697,-6435.157,0
14583.989,-16817.162,-14954.278,-11044.198,-14916.124,-1421.996,-16974.965,-8888.015,-6432.765,0
14583.989,-16811.730,-14946.030,-11039.035,-14909.553,-1423.940,-16970.494,-8890.965,-6436.163,0
14583.989,-16813.562,-14950.456,-11040.107,-14912.391,-1424.186,-16971.746,-8891.904,-6437.660,0
14583.989,-16820.627,-14959.821,-11045.025,-14919.544,-1422.621,-16976.977,-8888.507,-6435.447,0
14583.989,-16820.717,-14961.162,-11046.880,-14922.718,-1421.459,-16978.877,-8885.958,-6431.401,0
14583.989,-16817.541,-14960.067,-11043.751,-14916.728,-1421.772,-16975.838,-8887.881,-6432.139,0
14583.990,-16817.609,-14960.045,-11043.036,-14909.999,-1423.158,-16973.400,-8895.771,-6439.113,0
14583.990,-16820.402,-14964.068,-11044.869,-14911.273,-1421.325,-16974.965,-8895.771,-6437.548,0
14583.990,-16824.135,-14968.158,-11049.004,-14920.080,-1421.929,-16980.934,-8894.452,-6438.487,0
14583.990,-16826.146,-14972.227,-11050.613,-14924.975,-1423.426,-16983.928,-8893.089,-6438.509,0
14583.990,-16824.471,-14971.132,-11046.456,-14919.700,-1424.477,-16982.342,-8893.111,-6439.403,0
14584.048,-16819.396,-14966.527,-11040.220,-14910.268,-1423.471,-16977.402,-8894.005,-6440.745,0
14584.048,-16819.912,-14972.025,-11041.002,-14911.608,-1423.225,-16979.213,-8896.731,-6443.650,0
14584.048,-16819.889,-14973.054,-11043.080,-14917.196,-1423.493,-16983.795,-8895.257,-6443.024,0
14584.048,-16819.441,-14974.932,-11043.125,-14920.304,-1425.460,-16987.482,-8893.514,-6445.103,0
14584.049,-16817.162,-14974.864,-11039.415,-14915.252,-1427.204,-16985.516,-8894.563,-6447.763,0
14584.049,-16816.312,-14973.366,-11036.599,-14908.256,-1427.092,-16980.195,-8898.028,-6447.830,0
14584.049,-16819.711,-14977.412,-11039.705,-14910.894,-1427.651,-16982.564,-8902.744,-6451.026,0
14584.049,-16825.209,-14983.134,-11044.153,-14919.834,-1428.902,-16990.053,-8902.945,-6453.597,0
14584.049,-16825.320,-14985.548,-11042.857,-14922.494,-1426.801,-16989.941,-8895.212,-6445.774,0
14584.049,-16821.297,-14980.631,-11037.492,-14917.085,-1427.561,-16984.465,-8895.413,-6446.333,0
14584.050,-16818.391,-14974.082,-11035.012,-14910.670,-1429.148,-16980.150,-8898.989,-6449.238,0
14584.050,-16815.195,-14968.695,-11036.106,-14911.005,-1428.165,-16979.055,-8898.521,-6443.807,0
14584.050,-16815.352,-14969.343,-11040.555,-14917.331,-1427.919,-16983.459,-8897.313,-6443.382,0
14584.050,-16816.090,-14972.740,-11044.578,-14920.482,-1429.305,-16986.633,-8898.431,-6445.885,0
14584.050,-16814.457,-14975.893,-11044.623,-14914.716,-1430.556,-16983.123,-8900.241,-6444.366,0
14584.108,-16811.865,-14970.685,-11042.410,-14907.071,-1431.026,-16978.139,-8904.577,-6446.221,0
