timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14946.499,-17114.016,-14934.810,-11763.880,-15870.432,-696.190,-17067.793,-9220.117,-6656.998,0
14946.499,-17116.385,-14936.240,-11768.641,-15877.674,-698.291,-17072.463,-9219.580,-6652.371,0
14946.500,-17112.719,-14930.786,-11765.377,-15873.918,-698.984,-17069.848,-9217.658,-6653.198,0
14946.500,-17103.176,-14918.582,-11755.922,-15860.664,-695.877,-17060.662,-9216.765,-6651.075,0
14946.500,-17099.129,-14913.665,-11756.213,-15858.987,-697.598,-17061.266,-9227.604,-6653.287,0
14946.500,-17100.850,-14916.593,-11760.348,-15866.341,-701.085,-17069.424,-9218.642,-6656.439,0
14946.500,-17100.783,-14915.722,-11761.577,-15872.287,-703.029,-17075.816,-9209.545,-6659.121,0
14946.501,-17093.094,-14908.927,-11754.626,-15865.201,-702.761,-17072.553,-9216.585,-6655.634,0
14946.501,-17084.355,-14900.812,-11745.887,-15852.685,-703.387,-17068.283,-9218.530,-6662.765,0
14946.501,-17083.395,-14898.622,-11747.540,-15851.455,-705.443,-17069.514,-9215.759,-6669.135,0
14946.501,-17084.266,-14901.483,-11753.017,-15858.316,-706.583,-17076.375,-9221.033,-6672.130,0
14946.501,-17085.473,-14905.730,-11757.442,-15865.916,-708.506,-17083.215,-9225.615,-6676.086,0
14946.501,-17085.115,-14904.903,-11756.437,-15863.524,-709.310,-17081.404,-9227.180,-6667.011,0
14946.502,-17080.176,-14899.338,-11750.223,-15851.790,-707.969,-17074.453,-9226.890,-6664.665,0
14946.502,-17079.348,-14899.807,-11749.798,-15850.203,-706.919,-17072.910,-9229.751,-6666.654,0
14946.560,-17083.773,-14908.435,-11754.760,-15858.429,-707.142,-17077.963,-9230.488,-6665.290,0
14946.560,-17086.770,-14911.318,-11758.247,-15864.307,-707.522,-17082.410,-9234.779,-6668.911,0
14946.560,-17088.512,-14912.950,-11755.252,-15862.161,-704.795,-17078.811,-9218.820,-6661.602,0
14946.560,-17081.539,-14902.959,-11747.004,-15851.098,-702.001,-17069.961,-9218.798,-6666.788,0
14946.560,-17080.219,-14900.075,-11748.523,-15850.940,-701.197,-17068.887,-9221.614,-6663.815,0
14946.560,-17084.355,-14902.154,-11756.660,-15860.172,-702.985,-17075.436,-9226.777,-6665.514,0
14946.560,-17083.014,-14899.315,-11758.604,-15864.799,-702.381,-17078.207,-9226.555,-6666.833,0
14946.561,-17076.643,-14893.615,-11752.413,-15858.876,-699.923,-17074.453,-9226.062,-6666.899,0
14946.561,-17068.484,-14886.485,-11744.434,-15847.655,-699.744,-17067.547,-9228.678,-6668.554,0
14946.561,-17068.730,-14886.664,-11745.327,-15847.588,-699.990,-17067.367,-9227.068,-6668.129,0
14946.561,-17074.877,-14894.152,-11750.245,-15856.819,-702.202,-17076.441,-9229.013,-6670.409,0
14946.561,-17076.822,-14898.131,-11752.793,-15863.167,-702.560,-17081.896,-9227.783,-6672.152,0
14946.561,-17075.883,-14900.746,-11751.854,-15861.491,-705.041,-17082.164,-9230.488,-6677.338,0
14946.561,-17072.016,-14894.935,-11745.372,-15849.823,-703.387,-17073.246,-9232.634,-6675.594,0
14946.561,-17076.062,-14896.007,-11750.982,-15852.282,-706.427,-17075.594,-9245.151,-6681.540,0
14946.620,-17080.242,-14899.137,-11759.342,-15860.552,-708.304,-17083.125,-9245.889,-6681.741,0
14946.620,-17082.701,-14901.617,-11763.478,-15866.811,-709.087,-17090.189,-9243.407,-6683.708,0
14946.621,-17079.504,-14900.433,-11760.951,-15863.122,-710.830,-17089.406,-9250.538,-6688.022,0
14946.621,-17073.135,-14894.286,-11753.263,-15851.209,-709.556,-17081.494,-9254.896,-6692.582,0
14946.621,-17072.955,-14893.079,-11754.380,-15851.119,-708.617,-17080.846,-9256.863,-6698.795,0
14946.621,-17076.867,-14897.415,-11759.432,-15859.211,-708.349,-17086.143,-9251.208,-6697.812,0
14946.621,-17081.293,-14904.076,-11763.187,-15865.895,-709.020,-17092.715,-9245.732,-6697.611,0
14946.621,-17078.789,-14903.741,-11759.387,-15862.362,-709.578,-17091.418,-9251.320,-6701.701,0
14946.622,-17070.943,-14894.711,-11750.558,-15849.778,-705.868,-17079.236,-9246.515,-6687.061,0
14946.622,-17067.926,-14891.716,-11748.971,-15847.990,-704.996,-17076.756,-9247.297,-6684.826,0
14946.622,-17073.268,-14900.500,-11755.386,-15857.468,-707.366,-17084.086,-9246.470,-6683.552,0
14946.622,-17073.850,-14899.807,-11758.738,-15863.413,-710.607,-17090.391,-9254.985,-6690.190,0
14946.622,-17071.859,-14896.700,-11755.788,-15860.351,-710.629,-17087.953,-9248.437,-6682.948,0
